country,gf_region
Afghanistan,Asia
Albania,EECA
Algeria,MENASEA
Angola,MENASEA
Armenia,EECA
Azerbaijan,EECA
Bangladesh,Asia
Belarus,EECA
Belize,LAC
Benin,WCA
Bhutan,Asia
Bolivia (Plurinational State),LAC
Botswana,MENASEA
Burkina Faso,HIA1
Burundi,MENASEA
Cabo Verde,WCA
Cambodia,Asia
Cameroon,WCA
Central African Republic,WCA
Chad,WCA
Colombia,LAC
Comoros,MENASEA
Congo,WCA
Congo (Democratic Republic),HIA1
Costa Rica,LAC
Cuba,LAC
Côte d'Ivoire,HIA1
Djibouti,MENASEA
Dominican Republic,LAC
Ecuador,LAC
Egypt,MENASEA
El Salvador,LAC
Equatorial Guinea,WCA
Eritrea,MENASEA
Eswatini,MENASEA
Ethiopia,HIA2
Gabon,WCA
Gambia,WCA
Georgia,EECA
Ghana,HIA1
Guatemala,LAC
Guinea,WCA
Guinea-Bissau,WCA
Guyana,LAC
Haiti,LAC
Honduras,LAC
India,Asia
Indonesia,Asia
Iran (Islamic Republic),Asia
Jamaica,LAC
Kazakhstan,EECA
Kenya,HIA2
Korea (Democratic Peoples Republic),Asia
Kosovo,EECA
Kyrgyzstan,EECA
Lao (Peoples Democratic Republic),Asia
Lesotho,MENASEA
Liberia,WCA
Madagascar,MENASEA
Malawi,MENASEA
Malaysia,Asia
Mali,HIA1
Mauritania,WCA
Mauritius,MENASEA
Moldova,EECA
Mongolia,Asia
Montenegro,EECA
Morocco,MENASEA
Mozambique,HIA2
Multicountry Africa ECSA-HC,HIA2
Multicountry Americas EMMIE,LAC
Multicountry Americas IOM,LAC
Multicountry Americas ORAS-CONHU,LAC
Multicountry Caribbean CARICOM-PANCAP,LAC
Multicountry Caribbean MCC,LAC
Multicountry EECA PAS,EECA
Multicountry East Asia and Pacific RAI,Asia
Multicountry Eastern Africa IGAD,HIA2
Multicountry HIV EECA APH,EECA
Multicountry HIV Latin America,LAC
Multicountry HIV Latin America ALEP,LAC
Multicountry HIV MENA,MENASEA
Multicountry HIV SEA AFAO,Asia
Multicountry HIV WCA,WCA
Multicountry MENA Key Populations,MENASEA
Multicountry Middle East MER,MENASEA
Multicountry North Africa,MENASEA
Multicountry Southern Africa E8,HIA2
Multicountry Southern Africa MOSASWA,HIA2
Multicountry Southern Africa TIMS,HIA2
Multicountry Southern Africa WHC,HIA2
Multicountry TB Asia TEAM,Asia
Multicountry TB Asia UNDP,Asia
Multicountry TB LAC PIH,LAC
Multicountry TB WC Africa NTP/SRL,WCA
Multicountry Western Pacific,Asia
Myanmar,Asia
Namibia,MENASEA
Nepal,Asia
Nicaragua,LAC
Niger,WCA
Nigeria,HIA1
Pakistan,Asia
Panama,LAC
Papua New Guinea,Asia
Paraguay,LAC
Peru,LAC
Philippines,Asia
Romania,EECA
Russian Federation,EECA
Rwanda,MENASEA
Sao Tome and Principe,WCA
Senegal,WCA
Serbia,EECA
Sierra Leone,WCA
Solomon Islands,Asia
Somalia,MENASEA
South Africa,HIA2
South Sudan,MENASEA
Sri Lanka,Asia
Sudan,MENASEA
Suriname,LAC
Tajikistan,EECA
Tanzania (United Republic),HIA2
Thailand,Asia
Timor-Leste,Asia
Togo,WCA
Tunisia,MENASEA
Turkmenistan,EECA
Uganda,HIA2
Ukraine,EECA
Uzbekistan,EECA
Venezuela (Bolivarian Republic),LAC
Viet Nam,Asia
Zambia,HIA2
Zanzibar,HIA2
Zimbabwe,HIA2
